domain,mode,operation,time_scope_type,time_scope_value
mail,info,count,absolute,3m
mail,info,count,absolute,1y
mail,info,count,all,today
mail,info,count,all,today_morning
mail,info,count,all,today_day
mail,info,count,all,today_afternoon
mail,info,count,all,today_evening
mail,info,count,all,tomorrow_morning
mail,info,count,all,7d
mail,info,count,all,30d
mail,info,count,all,3m
mail,info,count,all,1y
mail,info,list,relative,today
mail,info,list,relative,today_morning
mail,info,list,relative,today_day
mail,info,list,relative,today_afternoon
mail,info,list,relative,today_evening
mail,info,list,relative,tomorrow_morning
mail,info,list,relative,7d
mail,info,list,relative,30d
mail,info,list,relative,3m
mail,info,list,relative,1y
mail,info,list,absolute,today
mail,info,list,absolute,today_morning
mail,info,list,absolute,today_day
mail,info,list,absolute,today_afternoon
mail,info,list,absolute,today_evening
mail,info,list,absolute,tomorrow_morning
mail,info,list,absolute,7d
mail,info,list,absolute,30d
mail,info,list,absolute,3m
mail,info,list,absolute,1y
mail,info,list,all,today
mail,info,list,all,today_morning
mail,info,list,all,today_day
mail,info,list,all,today_afternoon
mail,info,list,all,today_evening
mail,info,list,all,tomorrow_morning
mail,info,list,all,7d
mail,info,list,all,30d
mail,info,list,all,3m
mail,info,list,all,1y
mail,info,exists,relative,today
mail,info,exists,relative,today_morning
mail,info,exists,relative,today_day
mail,info,exists,relative,today_afternoon
mail,info,exists,relative,today_evening
mail,info,exists,relative,tomorrow_morning
mail,info,exists,relative,7d
mail,info,exists,relative,30d
mail,info,exists,relative,3m
mail,info,exists,relative,1y
mail,info,exists,absolute,today
mail,info,exists,absolute,today_morning
mail,info,exists,absolute,today_day
mail,info,exists,absolute,today_afternoon
mail,info,exists,absolute,today_evening
mail,info,exists,absolute,tomorrow_morning
mail,info,exists,absolute,7d
mail,info,exists,absolute,30d
mail,info,exists,absolute,3m
mail,info,exists,absolute,1y
mail,info,exists,all,today
mail,info,exists,all,today_morning
mail,info,exists,all,today_day
mail,info,exists,all,today_afternoon
mail,info,exists,all,today_evening
mail,info,exists,all,tomorrow_morning
mail,info,exists,all,7d
mail,info,exists,all,30d
mail,info,exists,all,3m
mail,info,exists,all,1y
mail,info,sum,relative,today
mail,info,sum,relative,today_morning
mail,info,sum,relative,today_day
mail,info,sum,relative,today_afternoon
mail,info,sum,relative,today_evening
mail,info,sum,relative,tomorrow_morning
mail,info,sum,relative,7d
mail,info,sum,relative,30d
mail,info,sum,relative,3m
mail,info,sum,relative,1y
mail,info,sum,absolute,today
mail,info,sum,absolute,today_morning
mail,info,sum,absolute,today_day
mail,info,sum,absolute,today_afternoon
mail,info,sum,absolute,today_evening
mail,info,sum,absolute,tomorrow_morning
mail,info,sum,absolute,7d
mail,info,sum,absolute,30d
mail,info,sum,absolute,3m
mail,info,sum,absolute,1y
mail,info,sum,all,today
mail,info,sum,all,today_morning
mail,info,sum,all,today_day
mail,info,sum,all,today_afternoon
mail,info,sum,all,today_evening
mail,info,sum,all,tomorrow_morning
mail,info,sum,all,7d
mail,info,sum,all,30d
mail,info,sum,all,3m
mail,info,sum,all,1y
mail,info,latest,relative,today
mail,info,latest,relative,today_morning
mail,info,latest,relative,today_day
mail,info,latest,relative,today_afternoon
mail,info,latest,relative,today_evening
mail,info,latest,relative,tomorrow_morning
mail,info,latest,relative,7d
mail,info,latest,relative,30d
mail,info,latest,relative,3m
mail,info,latest,relative,1y
mail,info,latest,absolute,today
mail,info,latest,absolute,today_morning
mail,info,latest,absolute,today_day
mail,info,latest,absolute,today_afternoon
mail,info,latest,absolute,today_evening
mail,info,latest,absolute,tomorrow_morning
mail,info,latest,absolute,7d
mail,info,latest,absolute,30d
mail,info,latest,absolute,3m
mail,info,latest,absolute,1y
mail,info,latest,all,today
mail,info,latest,all,today_morning
mail,info,latest,all,today_day
mail,info,latest,all,today_afternoon
mail,info,latest,all,today_evening
mail,info,latest,all,tomorrow_morning
mail,info,latest,all,7d
mail,info,latest,all,30d
mail,info,latest,all,3m
mail,info,latest,all,1y
notes,info,count,relative,today
notes,info,count,relative,today_morning
notes,info,count,relative,today_day
notes,info,count,relative,today_afternoon
notes,info,count,relative,today_evening
notes,info,count,relative,tomorrow_morning
notes,info,count,relative,7d
notes,info,count,relative,30d
notes,info,count,relative,3m
notes,info,count,relative,1y
notes,info,count,absolute,today
notes,info,count,absolute,today_morning
notes,info,count,absolute,today_day
notes,info,count,absolute,today_afternoon
notes,info,count,absolute,today_evening
notes,info,count,absolute,tomorrow_morning
notes,info,count,absolute,7d
notes,info,count,absolute,30d
notes,info,count,absolute,3m
notes,info,count,absolute,1y
notes,info,count,all,today
notes,info,count,all,today_morning
notes,info,count,all,today_day
notes,info,count,all,today_afternoon
notes,info,count,all,today_evening
notes,info,count,all,tomorrow_morning
notes,info,count,all,7d
notes,info,count,all,30d
notes,info,count,all,3m
notes,info,count,all,1y
notes,info,list,relative,today
notes,info,list,relative,today_morning
notes,info,list,relative,today_day
notes,info,list,relative,today_afternoon
notes,info,list,relative,today_evening
notes,info,list,relative,tomorrow_morning
notes,info,list,relative,7d
notes,info,list,relative,30d
notes,info,list,relative,3m
notes,info,list,relative,1y
notes,info,list,absolute,today
notes,info,list,absolute,today_morning
notes,info,list,absolute,today_day
notes,info,list,absolute,today_afternoon
notes,info,list,absolute,today_evening
notes,info,list,absolute,tomorrow_morning
notes,info,list,absolute,7d
notes,info,list,absolute,30d
notes,info,list,absolute,3m
